@RELATION TEST1

@ATTRIBUTE mutationId NUMERIC
@ATTRIBUTE elementId NUMERIC
@ATTRIBUTE displayed {0,1}
@ATTRIBUTE height NUMERIC
@ATTRIBUTE width NUMERIC
@ATTRIBUTE top NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE activatorTop NUMERIC
@ATTRIBUTE activatorLeft NUMERIC
@ATTRIBUTE distanceTop NUMERIC
@ATTRIBUTE distanceLeft NUMERIC
@ATTRIBUTE distance NUMERIC
@ATTRIBUTE numberElements NUMERIC
@ATTRIBUTE elements_per_size NUMERIC
@ATTRIBUTE numberWords NUMERIC
@ATTRIBUTE textNodes NUMERIC
@ATTRIBUTE words_per_textNodes NUMERIC
@ATTRIBUTE table {0,1}
@ATTRIBUTE list {0,1}
@ATTRIBUTE input {0,1}
@ATTRIBUTE widgetName {0,1}
@ATTRIBUTE date {0,1}
@ATTRIBUTE img {0,1}
@ATTRIBUTE proportionNumbers NUMERIC
@ATTRIBUTE links80percent NUMERIC
@ATTRIBUTE Result {0,1}

@DATA
4,210,1,193,282,79,971,49,970,0,85,0,40,0.00179549331178741000,60,60,1,0,0,0,0,0,1,0.0,0,1
211,280,1,360,755,299,552,361,352,99,0,0,130,0.00057587100489490400,707,238,2.9705882353,0,1,0,0,0,1,0.0,1,1
25,55,1,104,233,75,718,37,738,2,89,-2,9,0.00051502145922746800,4,2,2,0,1,0,1,0,0,0.0,0,1
14,48,1,1256,220,97,780,96,561,30,-1,-1,32,0.00149953139643861000,18,11,1.6363636364,0,0,0,1,0,0,0.0,0,1
22,227,1,465,999,305,557,739,347,465,0,0,90,0.00029537734455767200,46,46,1,0,0,0,0,0,1,0.0,0,1
33,65,1,450,341,125,270,83,284,-1,175,-1,13,0.00030498533724340200,677,23,29.4347826087,0,1,0,0,0,0,0.0,0,1
18,270,1,499,999,305,557,615,347,341,0,0,205,0.00067280395149247600,143,143,1,0,0,0,0,0,1,0.0,0,1
73,1153,1,366,727,217,702,434,481,240,0,0,60,0.00038032695440513700,3062,112,27.3392857143,0,1,0,0,0,1,0.0,0,1
122,39,1,347,167,142,591,96,747,0,280,0,10,0.00042169182761238100,27,20,1.35,0,0,0,0,0,0,0.0,0,1
28,0,1,263,144,40,754,0,755,0,91,0,6,0.00104166666666667000,13,13,1,0,0,0,0,0,0,0.0,0,1
135,5,1,162,210,396,901,345,902,1,117,-1,12,0.00014430014430014400,8,4,2,0,0,0,0,0,1,0.0,0,1
17,226,1,465,999,305,557,584,347,310,0,0,176,0.00057762680713500400,120,120,1,0,0,0,0,0,1,0.0,0,1
2,0,1,86,70,44,1820,13,1867,-15,66,-15,4,0.00129870129870130000,100,8,12.5,0,0,0,0,0,0,0.0,0,1
35,18,1,525,499,95,258,132,30,60,-12,-12,25,0.00052737053053475400,949,46,20.6304347826,0,0,0,0,0,1,0.0,0,1
39,864,1,289,1328,137,288,83,1027,-13,823,-13,40,0.00021985753231905700,657,76,8.6447368421,0,1,0,1,0,1,0.0,0,1
42,25,1,315,500,99,884,53,884,0,130,0,37,0.00074747474747474800,732,53,13.8113207547,0,1,0,0,0,0,0.0,0,1
15,144,1,360,755,299,552,506,352,244,0,0,112,0.00049613501960176300,625,202,3.0940594059,0,1,0,0,0,1,0.0,1,1
9,296,1,360,755,299,552,332,352,70,0,0,76,0.00033666304901548200,514,134,3.8358208955,0,1,0,0,0,1,0.0,1,1
25,3,1,260,680,42,488,0,488,0,82,0,0,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0.0,0,1
49,354,1,525,499,95,258,464,30,392,-12,-12,50,0.00105474106106951000,2470,95,26,0,0,0,0,0,1,0.0,0,1
3,3,1,52,120,59,1275,6,1268,6,79,-6,26,0.00367231638418079000,49,15,3.2666666667,0,1,0,0,0,0,0.0,0,1
137,673,1,98,207,396,1104,345,1105,1,128,-1,6,0.00007319572536963840,4,2,2,0,0,0,0,0,1,0.0,0,1
9,11,1,165,111,64,739,0,739,4,100,-4,7,0.00098536036036036000,13,13,1,0,0,0,1,0,0,0.0,0,1
34,16,1,525,499,95,258,109,30,37,-12,-12,43,0.00090707731251977600,1704,78,21.8461538462,0,0,0,0,0,1,0.0,0,1
10,26,1,1212,220,97,720,189,501,123,-1,-1,25,0.00117150890346767000,18,9,2,0,0,0,1,0,0,0.0,0,1
136,13,1,162,210,396,1017,345,1018,1,88,-1,12,0.00014430014430014400,8,4,2,0,0,0,0,0,1,0.0,0,1
